bio,date,device,followers,following,location,query_type,screen_name,tweet
"b'Laugh, learn, bike. Student of exercise, play, resilience, advocate for sustainable transportation, #veteran USA, views are my own RTs not endorsements'",Mon Feb 17 20:33:29 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",570.0,928.0,,Warren,b'MasonBikedude',"b'Instead of the media focusing their efforts and stories on Mike Bloomberg, tell folks more about an actual progressive and real choice in this race for many - @ewarren. As a Bernie supporter, even I recognize the bias. https://t.co/p4Dyc9jBWV'"
b'',Tue Feb 18 00:39:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",27.0,20.0,,Biden,b'2020letsstartf1',"b""God damn. When Trump screeches about Hunter Biden, here's what he's trying to distract you from.\nhttps://t.co/txhH82Ya8r"""
b'desert clay wrangler.',Tue Feb 18 14:23:32 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1282.0,2071.0,Arizona,Buttigieg,b'arcillahumeda',"b'2020 head-to-heads via new NPR/PBS/Marist polls out today:\n\nBiden 50%, Trump 44%\nBloomberg 48%, Trump 44%\nSanders 48%, Trump 45%\nButtigieg 47%, Trump 45%\nKlobuchar 47%, Trump 45%\nWarren 47%, Trump 46%'"
"b'@pntrack, Science-driven, anti-war, pro civil rights, education activist, democratic socialist, reader, writer, photographer, teacher, coach, music-lover.'",Tue Feb 18 15:07:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1055.0,499.0,Chicago Area,Sanders,b'anthonyholler',"b""Nearly 1,300 IBEW members are saying their union leadership's decision to endorse Joe Biden was undemocratic--and they want a retraction. https://t.co/EQfoWmswN9 via @hamiltonnolan"""
b'There were people here hundreds of thousands of years before English was a language.\n\nAnti-totalitarianist',Tue Feb 18 16:25:54 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4347.0,3830.0,Dallas/CDMX,Bloomberg,b'borderorder',"b""Mike Bloomberg's expansion of \xe2\x80\x9cstop and frisk\xe2\x80\x9d devastated Black and Brown communities. For years, he used racist justifications to defend the practice\xe2\x80\x94and more comments are already resurfacing. We need a nominee that Democratic voters can trust. https://t.co/AZa84e5Qt0"""
b'',Tue Feb 18 00:14:26 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",246.0,460.0,,Warren,b'bamamike15',"b'TODAY\'S ETHICAL DILEMMA:  If Bernie Sanders and Elizabeth Warren promise to cancel your student loans in exchange for your vote, would that be a - what\'s the word for it? - ""QUID PRO QUO""?'"
b'',Tue Feb 18 15:57:09 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",910.0,1306.0,,Buttigieg,b'Mocomoc40782121',"b""Biden - 48 years in Government \nSanders - 39 years in Government \nKlobuchar - 12 years in Government\nMichael Bloomberg - 11 years in Government \nPete Buttigieg - 8 years in Government \nWarren - 7 years in Government\nWhat've they done for any of us? They're all part of the problem"""
"b'Democrat to the core , history buff, defender of social justice, the environment, animals. Foodie. At home best on the water. Published designer'",Mon Feb 17 22:14:00 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",88.0,360.0,,Sanders,b'Rebecca80833336',"b""Ahh was there a year that went by that didn't see him supporting some awful villain?\n\n34/\n\nhttps://t.co/VHoZwQTLTj"""
"b'Retired conservative Christian, husband, father and Pepaw. Navy veteran just living the dream in Georgia. I follow back ALL patriots! #Trump2020 #MAGA #KAG'",Tue Feb 18 16:41:33 +0000 2020,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2286.0,2458.0,Georgia,Biden,b'NavyVet30707',b'Hunter Biden Was On Board Of Trade Coalition Lobbying Obama Admin On Ukraine Aid https://t.co/qhdyKE9SUG via @dailycaller'
b'LSU23. breathin',Tue Feb 18 14:59:06 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",198.0,450.0,Federal prison,Warren,b'freelee2k20',"b""Bloomberg gives Warren the PERFECT target to refocus her campaign and highlight her fight against wealth and corruption...\n\nAnd she is focusing on Bernie's twitter followers. It's sad. https://t.co/silkJG9Q4n"""
b'Football; cooking; wine; football; gardening; football; Respiratory Care; football; baseball; basketball; writing; football; politics. Every man for himself!',Mon Feb 17 12:42:50 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2271.0,1487.0,He's everywhere! ,Klobuchar,b'OldSaltCityAce',"b'Don\xe2\x80\x99t be fooled by Amy Klobuchar.\n\nShe supports taxpayer-funded abortions and even co-sponsored AOC\xe2\x80\x99s radical \xe2\x80\x9cGreen New Deal.\xe2\x80\x9d\n\nEvery 2020 Democrat is backing socialist policies, and Klobuchar is no different.'"
"b""Making America Smart Again with Math Science and History. General News Biz Consulting Nonprofits Politics Technology. Orig Acct since '09 was Susp. by IQ45""",Tue Feb 18 16:41:52 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",827.0,1286.0,"Orlando, FL",Sanders,b'AmericanProSolv',b'If Bernie Sanders is not the Establishment then who is? He has been in govt for 40+ years.'
b'USMC 78-81 0311\nUSN Sea Bee 91-06 EOC\n\n#Maga \n\nGun carrying God loving patriot#Trump2020 Life NRA member Very happily married to a wonderful woman',Tue Feb 18 16:33:36 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",14943.0,15401.0,"Montana, USA",Biden,b'simon95252',b'Joe Biden wants to BAN plastic straws\xe2\x80\x94the only kind that work!\n\nGet your pack of recyclable TRUMP straws today! https://t.co/vCIcEEvpXl https://t.co/O0OOyogWMp'
b'',Tue Feb 18 16:41:52 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1292.0,1893.0,,Bloomberg,b'mickiedances',"b'""at the same time that Bloomberg is being called out on his housing bubble zombie, Pete Buttigieg is facing justified criticism for buying into another zombie idea \xe2\x80\x94 the obsession with government debt. That obsession did much to hobble recovery from the financial crisis."" Krugman'"
"b'M.D. and Ph.D. advice on health, relationships, etiquette, fashion, & more.  See bio at https://t.co/0HFRyrSw5z and in our book at https://t.co/Bg7vCkRvR6'",Tue Feb 18 15:30:14 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3777.0,1943.0,United States,Warren,b'DrdaveAnddee',b'HUGE NEWS: New NPR - PBS News Hour - Marist Nationwide Poll shows Bernie Leading Huge in 1st.\n\nCANDIDATES % NATIONWIDE:\n\n- Bernie Sanders 31% \n- Mike Bloomberg 19%\n- Joe Biden 15%\n- Liz Warren 12%\n- Amy Klobuchar 9%\n- Pete Buttigieg 8%\n- Tom Steyer 2%\n\nFIGHT HARD AND BERNIE WINS!'
b'Die hard Democrat. Feminist. Blue in red state. CA GIRL. CIVIL RIGHTS. #ACLU #NOW #WhenWeAllVote #ERA #AbolishElectoralCollege #EndCitizensUnited',Mon Feb 17 16:54:07 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4402.0,5000.0,,Klobuchar,b'Justcivility',"b""For everyone making excuses for Trump &amp; Barr, saying Presidents have the right to decide who gets prosecuted, who doesn't &amp; what kind of sentence is too long for their buddy, I'll remember that under President Sanders, Warren, Klobuchar, Buttigieg, Biden or Bloomberg."""
"b""Veterinarian, Comedian, Political Catalyst, & Gay Conservative (not that there's anything wrong with that)\n\n#MAGA #MCGA (Canada)""",Tue Feb 18 14:27:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1122.0,2193.0,,Sanders,b'drkyla',"b'Worst case scenario for Democrats is Bloomberg \xe2\x80\x9cbuying\xe2\x80\x9d the nomination, robbing Sanders again, and then losing in the general election.'"
"b""#JoeBiden #TeamPelosi. Cal \xe2\x80\x9897, Boalt '00. Hillary Democrat. Liberal Welfare State. Preserve Disney theme park heritage. Save the SS United States.""",Tue Feb 18 12:22:18 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2843.0,2859.0,California,Biden,b'magicskyway',"b'Will all the people who support Biden substitute your concerns with phone banking, texting, donating or canvassing? Can you put your energy there before you have a nervous breakdown. Bloomberg is not on the ballot in NV or Sc, let focus there.'"
b'Doing all the hard hitting reporting necessary to stop Bernie Sanders in order to appease our corporate masters. *SATIRE',Tue Feb 18 16:56:33 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",121.0,182.0,,Bloomberg,b'UltraWokeMag',b'@SamSeder @KyleKulinski Bloomberg: \xe2\x80\x9cCheckmate Bernie brothers!\xe2\x80\x9d https://t.co/tSR1CSYHPH'
b'#Atheist #HouseMusic #Bernie2020 #Tulsi2020 #Gravel2020',Tue Feb 18 16:54:31 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3132.0,2902.0,"Tulsa, OK",Warren,b'monad1010',"b'Warren lied about her career, her heritage. She built her mvmnt by plagiarizing Bernie\xe2\x80\x99s entire platform, then threw her \xe2\x80\x9cfriend\xe2\x80\x9d under the bus, acusung him of sexism. Now she\xe2\x80\x99s attacking progressives. If you think I\xe2\x80\x99m gonna apologize for calling her a snake, that\xe2\x80\x99s fn laughable'"
b'#ArmyVeteran \nI follow all American Patriots regardless of race.1%er now a 3%er #OathKeeper #NRA #2A #KAG \n\n \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',Tue Feb 18 16:56:42 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",4419.0,4996.0,,Warren,b'DantoniSal',"b""@naynanjani @SenKamalaHarris Bernie Sanders, Amy Klobuchar, Elizabeth Warren, Cory Booker, \xe2\x8f\xa9Kamala Harris all named in new book as being deeply involved with corruption.  \xf0\x9f\x94\xbd \n\nREVIEW: Peter Schweizer's\xc2\xa0'Profiles in Corruption' Exposes the Grubby Corruption of Our Power Elite https://t.co/KIA2wmMIba"""
"b""Christian-bred, strongly patriotic, fun-loving woman....there's more""",Tue Feb 18 00:03:00 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2395.0,359.0,"Beacon Falls, CT",Sanders,b'Yolanda53311253',"b""Students project Sanders will enter the national convention just shy of enough delegates to secure the nomination. Due to the crowded field of moderates, they think he'll win enough delegates on a second ballot. https://t.co/1FRdtYBim8"""
"b'Not always delicate in my presentation so buckle up and remember, Tweets are not legal currency but are opinions of perspective. #resistance #resist'",Tue Feb 18 04:49:31 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3065.0,4802.0,Land of the free.,Biden,b'rossalittle',"b'Bloomberg is not the enemy. \nBernie Sanders is not the enemy.\nBiden is not the enemy.\nNeither is Warren, Klobuchar, or Yang. \n\nThe enemy is Trump.  Period. \nThe GOP is counting on Democrats turning on each other because it will help Trump.\nSo stop it.'"
b'Founder @TheNorthStar & @RealJusticePAC & @FlipTheSenate & @TheActionPAC Host of @TheBreakdown Podcast. Husband. Father of 5. Surrogate for @BernieSanders.',Mon Feb 17 22:35:18 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1142998.0,12403.0,"Brooklyn, NY",Bloomberg,b'shaunking',b'Shorter Bloomberg: look at these awful Black women Bernie Bros viciously saying true things about me.'
"b'Proud Husband~Father~Firefighter~Veteran - #2A protects #1A -""I Stand W/ Flynn""-Oath Keeper-Stand 4 FLAG-Kneel 4 GOD -   #USMC  #USAF  #WWG1WGA  #KAG2020'",Tue Feb 18 07:41:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",10076.0,10402.0,#SemperFi~GOD~FAMILY~COUNTRY,Buttigieg,b'dee_plorable',"b""\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x90\xb8\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\xf0\x9f\x91\xb6\n\nWhat planet is #buttgig on ?\n\nHe claims we're all uplifted by stories of abortion.\n\nsheeesh\n\nBaby killer\n\nThese cultists are everywhere.\n\nBut, we have their measure guys.\n\nRip into 'em\n\nThis is war\n\nWe win this time\n\nhttps://t.co/qL14YNA28m"""
